HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Brazil,Peru,2016,0,1,1
Haiti,Peru,2016,0,1,1
Jamaica,Venezuela,2016,0,1,1
Uruguay,Japan,2019,2,2,4
Ecuador,Chile,2019,1,2,3
Chile,Uruguay,2019,0,1,1
Ecuador,Japan,2019,1,1,2
Colombia,Chile,2019,0,0,0
Venezuela,Argentina,2019,0,2,2
Uruguay,Peru,2019,0,0,0
Brazil,Argentina,2019,2,0,2
Chile,Peru,2019,0,3,3
Japan,Chile,2019,0,4,4
Brazil,Paraguay,2019,0,0,0
Uruguay,Ecuador,2019,4,0,4
Bolivia,Venezuela,2019,1,3,4
Qatar,Argentina,2019,0,2,2
Argentina,Paraguay,2019,1,1,2
Colombia,Qatar,2019,1,0,1
Paraguay,Qatar,2019,2,2,4
Argentina,Colombia,2019,0,2,2
Peru,Brazil,2019,0,5,5
Brazil,Venezuela,2019,0,0,0
Bolivia,Peru,2019,1,3,4
Venezuela,Peru,2019,0,0,0
Brazil,Bolivia,2019,3,0,3
Argentina,Chile,2019,2,1,3
Colombia,Paraguay,2019,1,0,1
Brazil,Peru,2019,3,1,4
